query,expected_data_layer,expected_context_layer,expected_daterange,expected_threshold
What data can tell me how much deforestation happened in the Amazon last year?,tree cover loss,,2024,
"Which county in Acre, Brazil lost the most forests since 2001?",tree cover loss,,2001-2024,
I'm researching tropical forest loss. What data might help me with my research?,tree cover loss,Primary forest,,
Show me forest loss in the Democratic Republic of the Congo.,tree cover loss,,,
How much forest was lost in Indonesia between 2010 and 2022?,tree cover loss,,2010-2022,
"Which country had more tree cover loss in 2020, Bolivia or Colombia?",tree cover loss,,2020,
Which province in Cambodia has experienced the most forest loss?,tree cover loss,,,
What dataset can I use to monitor forest loss in Madagascar?,tree cover loss,,,
What’s the status of global forests?,tree cover loss,,,
Is there annual forest loss data for Tanzania?,tree cover loss,,,
I’m evaluating the impact of forest loss in Canada.,tree cover loss,,,
How much forest loss was there in Venezuela in 2005?,tree cover loss,,2005,
Can you show forest loss trends in Laos over the last two decades?,tree cover loss,,2004-2024,
Where has deforestation increased the most in West Africa in the last five years?,ANY: tree cover loss; Tree cover loss by dominant driver,,2019-2024,
I’m curious about forest changes in Papua New Guinea — is there any recent data on that?,ANY: tree cover loss; Global all ecosystem disturbance alerts (DIST-ALERT) ,,,
"What’s the pattern of forest clearing in Chiapas, Mexico since 2005?",ANY: tree cover loss; Tree cover loss by dominant driver,,2005-2024,
Which regions in Myanmar have lost the most forest since 2015?,tree cover loss,,2015-2024,
How much forest was lost in Nigeria between 2001 and 2021?,tree cover loss,,2001-2021,
What was the rate of forest loss in the Congo Basin in 2010?,tree cover loss,,2010,
Has forest loss accelerated in Borneo in the last 3 years?,tree cover loss,,2021-2024,
Is there yearly forest loss data for tropical countries going back to 2000?,tree cover loss,,,
What does the data say about forest loss during the 2015 El Niño?,tree cover loss,,2015,
Which state in India lost more forest in 2022 — Arunachal Pradesh or Chhattisgarh?,tree cover loss,,2022,
How does forest loss in Peru compare to Brazil over the last 10 years?,tree cover loss,,2014-2024,
What provinces in Mozambique have had the fastest forest loss growth rate recently?,ANY: tree cover loss; Global all ecosystem disturbance alerts (DIST-ALERT) ,,,
I’m evaluating forest degradation in Southeast Asia — what data should I use?,ANY: tree cover loss; Global all ecosystem disturbance alerts (DIST-ALERT) ,Intact Forest Landscapes,,
"For a policy report, I need stats on forest loss in boreal ecosystems. What’s available?",tree cover loss,,,
